"","setor","classe_cnae","saldo"
"1","Agropecuária","Cultivo de cana-de-açúcar",-15
"2","Agropecuária","Atividades de apoio à agricultura",-6
"3","Agropecuária","Cultivo de frutas de lavoura permanente, exceto laranja e uva",-1
"4","Agropecuária","Cultivo de plantas de lavoura temporária não especificadas anteriormente",-1
"5","Agropecuária","Abate de reses, exceto suínos",0
"6","Comércio","Comércio varejista de ferragens, madeira e materiais de construção",-25
"7","Comércio","Comércio varejista especializado de móveis, colchoaria e artigos de iluminação",-23
"8","Comércio","Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo",-14
"9","Comércio","Comércio atacadista de máquinas, aparelhos e equipamentos para uso agropecuário; partes e peças",-10
"10","Comércio","Comércio varejista de livros, jornais, revistas e papelaria",-10
"11","Construção civil","Construção de edifícios",-118
"12","Construção civil","Serviços especializados para construção não especificados anteriormente",-73
"13","Construção civil","Obras de acabamento",-49
"14","Construção civil","Instalações elétricas",-36
"15","Construção civil","Instalações hidráulicas, de sistemas de ventilação e refrigeração",-16
"16","Indústria","Fabricação de máquinas e equipamentos para a agricultura e pecuária, exceto para irrigação",-64
"17","Indústria","Fabricação de refrigerantes e de outras bebidas não-alcoólicas",-56
"18","Indústria","Serviços de catering, bufê e outros serviços de comida preparada",-27
"19","Indústria","Fabricação de produtos alimentícios não especificados anteriormente",-25
"20","Indústria","Fabricação de artefatos de material plástico não especificados anteriormente",-17
"21","Serviços","Ensino fundamental",-256
"22","Serviços","Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal e em região metropolitana",-204
"23","Serviços","Atividades de teleatendimento",-133
"24","Serviços","Educação infantil - pré-escola",-112
"25","Serviços","Educação superior - graduação",-102
