"","setor","classe_cnae","saldo"
"1","Agropecuária","Cultivo de cana-de-açúcar",28
"2","Agropecuária","Atividades de apoio à agricultura",16
"3","Agropecuária","Produção de sementes certificadas",7
"4","Agropecuária","Atividades paisagísticas",6
"5","Agropecuária","Atividades de apoio à produção florestal",2
"6","Comércio","Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados",206
"7","Comércio","Comércio atacadista de produtos alimentícios em geral",115
"8","Comércio","Comércio varejista de mercadorias em geral, sem predominância de produtos alimentícios",107
"9","Comércio","Comércio varejista de produtos farmacêuticos para uso humano e veterinário",107
"10","Comércio","Comércio varejista de outros produtos novos não especificados anteriormente",100
"11","Construção civil","Serviços especializados para construção não especificados anteriormente",210
"12","Construção civil","Instalações hidráulicas, de sistemas de ventilação e refrigeração",58
"13","Construção civil","Montagem de instalações industriais e de estruturas metálicas",41
"14","Construção civil","Obras para geração e distribuição de energia elétrica e para telecomunicações",41
"15","Construção civil","Obras de instalações em construções não especificadas anteriormente",14
"16","Indústria","Fabricação de embalagens de material plástico",40
"17","Indústria","Instalação de máquinas e equipamentos industriais",39
"18","Indústria","Fabricação de artefatos de concreto, cimento, fibrocimento, gesso e materiais semelhantes",31
"19","Indústria","Fabricação de equipamentos hidráulicos e pneumáticos, exceto válvulas",29
"20","Indústria","Fabricação de defensivos agrícolas",23
"21","Serviços","Atividades de atendimento hospitalar",1071
"22","Serviços","Serviços combinados de escritório e apoio administrativo",375
"23","Serviços","Limpeza em prédios e em domicílios",369
"24","Serviços","Transporte rodoviário de carga",353
"25","Serviços","Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal e em região metropolitana",330
