"","setor","classe_cnae","saldo"
"1","Agropecuária","Atividades paisagísticas",1
"2","Agropecuária","Criação de bovinos",1
"3","Agropecuária","Produção florestal - florestas plantadas",1
"4","Agropecuária","Abate de reses, exceto suínos",0
"5","Agropecuária","Abate de suínos, aves e outros pequenos animais",0
"6","Comércio","Comércio varejista de artigos do vestuário e acessórios",114
"7","Comércio","Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados",78
"8","Comércio","Comércio varejista de mercadorias em geral, sem predominância de produtos alimentícios",30
"9","Comércio","Comércio atacadista de produtos alimentícios em geral",27
"10","Comércio","Comércio varejista de outros produtos novos não especificados anteriormente",24
"11","Construção civil","Perfurações e sondagens",5
"12","Construção civil","Abate de reses, exceto suínos",0
"13","Construção civil","Abate de suínos, aves e outros pequenos animais",0
"14","Construção civil","Acabamentos em fios, tecidos e artefatos têxteis",0
"15","Construção civil","Administração de bolsas e mercados de balcão organizados",0
"16","Indústria","Fabricação de válvulas, registros e dispositivos semelhantes",33
"17","Indústria","Fabricação de máquinas-ferramenta",5
"18","Indústria","Manutenção e reparação de máquinas e equipamentos da indústria mecânica",5
"19","Indústria","Edição de livros",4
"20","Indústria","Fabricação de produtos do refino de petróleo",4
"21","Serviços","Limpeza em prédios e em domicílios",91
"22","Serviços","Transporte aéreo de passageiros regular",21
"23","Serviços","Serviços combinados para apoio a edifícios, exceto condomínios prediais",19
"24","Serviços","Planos de saúde",16
"25","Serviços","Atividades auxiliares dos transportes terrestres não especificadas anteriormente",15
