"","setor","classe_cnae","saldo"
"1","Agropecuária","Atividades paisagísticas",12
"2","Agropecuária","Criação de animais não especificados anteriormente",11
"3","Agropecuária","Cultivo de cana-de-açúcar",9
"4","Agropecuária","Atividades de apoio à agricultura",7
"5","Agropecuária","Cultivo de plantas de lavoura temporária não especificadas anteriormente",1
"6","Comércio","Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados",194
"7","Comércio","Comércio varejista de artigos do vestuário e acessórios",151
"8","Comércio","Comércio varejista de calçados e artigos de viagem",130
"9","Comércio","Comércio varejista de mercadorias em geral, sem predominância de produtos alimentícios",45
"10","Comércio","Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo",44
"11","Construção civil","Instalações elétricas",27
"12","Construção civil","Construção de rodovias e ferrovias",20
"13","Construção civil","Montagem de instalações industriais e de estruturas metálicas",13
"14","Construção civil","Instalações hidráulicas, de sistemas de ventilação e refrigeração",6
"15","Construção civil","Obras para geração e distribuição de energia elétrica e para telecomunicações",4
"16","Indústria","Instalação de máquinas e equipamentos industriais",14
"17","Indústria","Instalação de equipamentos não especificados anteriormente",10
"18","Indústria","Manutenção e reparação de tanques, reservatórios metálicos e caldeiras, exceto para veículos",9
"19","Indústria","Fabricação de produtos de panificação",8
"20","Indústria","Fabricação de defensivos agrícolas",5
"21","Serviços","Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas",122
"22","Serviços","Limpeza em prédios e em domicílios",63
"23","Serviços","Atividades de publicidade não especificadas anteriormente",62
"24","Serviços","Desenvolvimento e licenciamento de programas de computador customizáveis",40
"25","Serviços","Atividades de atenção ambulatorial executadas por médicos e odontólogos",37
