"","setor","classe_cnae","saldo"
"1","Agropecuária","Atividades de apoio à agricultura",7
"2","Agropecuária","Cultivo de laranja",1
"3","Agropecuária","Cultivo de plantas de lavoura temporária não especificadas anteriormente",1
"4","Agropecuária","Abate de reses, exceto suínos",0
"5","Agropecuária","Abate de suínos, aves e outros pequenos animais",0
"6","Comércio","Comércio varejista de artigos do vestuário e acessórios",77
"7","Comércio","Comércio varejista de mercadorias em geral, sem predominância de produtos alimentícios",14
"8","Comércio","Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo",14
"9","Comércio","Comércio atacadista de produtos alimentícios em geral",13
"10","Comércio","Comércio a varejo e por atacado de veículos automotores",12
"11","Construção civil","Abate de reses, exceto suínos",0
"12","Construção civil","Abate de suínos, aves e outros pequenos animais",0
"13","Construção civil","Acabamentos em fios, tecidos e artefatos têxteis",0
"14","Construção civil","Administração de bolsas e mercados de balcão organizados",0
"15","Construção civil","Administração de cartões de crédito",0
"16","Indústria","Curtimento e outras preparações de couro",10
"17","Indústria","Fabricação de produtos alimentícios não especificados anteriormente",9
"18","Indústria","Manutenção e reparação de equipamentos e produtos não especificados anteriormente",7
"19","Indústria","Fabricação de válvulas, registros e dispositivos semelhantes",6
"20","Indústria","Fabricação de produtos de limpeza e polimento",5
"21","Serviços","Serviços de engenharia",99
"22","Serviços","Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas",14
"23","Serviços","Condomínios prediais",12
"24","Serviços","Locação de automóveis sem condutor",11
"25","Serviços","Atividades de atendimento hospitalar",9
