"","setor","classe_cnae","saldo"
"1","Agropecuária","Atividades de apoio à agricultura",-16
"2","Agropecuária","Cultivo de flores e plantas ornamentais",-3
"3","Agropecuária","Produção de mudas e outras formas de propagação vegetal, certificadas",-2
"4","Agropecuária","Cultivo de laranja",-1
"5","Agropecuária","Abate de reses, exceto suínos",0
"6","Comércio","Comércio de peças e acessórios para veículos automotores",-18
"7","Comércio","Comércio atacadista de equipamentos e artigos de uso pessoal e doméstico não especificados anteriormente",-9
"8","Comércio","Comércio varejista especializado de equipamentos de telefonia e comunicação",-9
"9","Comércio","Comércio varejista especializado de equipamentos e suprimentos de informática",-9
"10","Comércio","Comércio por atacado e a varejo de motocicletas, peças e acessórios",-6
"11","Construção civil","Construção de edifícios",-83
"12","Construção civil","Obras de acabamento",-32
"13","Construção civil","Obras de terraplenagem",-15
"14","Construção civil","Serviços especializados para construção não especificados anteriormente",-14
"15","Construção civil","Obras de engenharia civil não especificadas anteriormente",-5
"16","Indústria","Fabricação de açúcar em bruto",-54
"17","Indústria","Fabricação de aparelhos e equipamentos para distribuição e controle de energia elétrica",-10
"18","Indústria","Curtimento e outras preparações de couro",-8
"19","Indústria","Fabricação de medicamentos para uso humano",-7
"20","Indústria","Fabricação de produtos de carne",-7
"21","Serviços","Atividades auxiliares dos serviços financeiros não especificadas anteriormente",-195
"22","Serviços","Limpeza em prédios e em domicílios",-47
"23","Serviços","Incorporação de empreendimentos imobiliários",-41
"24","Serviços","Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal, interestadual e internacional",-25
"25","Serviços","Imunização e controle de pragas urbanas",-20
