"","setor","classe_cnae","saldo"
"1","Agropecuária","Atividades paisagísticas",7
"2","Agropecuária","Cultivo de flores e plantas ornamentais",5
"3","Agropecuária","Atividades de apoio à agricultura",4
"4","Agropecuária","Horticultura",2
"5","Agropecuária","Cultivo de laranja",1
"6","Comércio","Comércio varejista de artigos do vestuário e acessórios",148
"7","Comércio","Comércio varejista de calçados e artigos de viagem",57
"8","Comércio","Comércio varejista de outros produtos novos não especificados anteriormente",39
"9","Comércio","Comércio atacadista de produtos alimentícios em geral",26
"10","Comércio","Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal",26
"11","Construção civil","Obras para geração e distribuição de energia elétrica e para telecomunicações",5
"12","Construção civil","Abate de reses, exceto suínos",0
"13","Construção civil","Abate de suínos, aves e outros pequenos animais",0
"14","Construção civil","Acabamentos em fios, tecidos e artefatos têxteis",0
"15","Construção civil","Administração de bolsas e mercados de balcão organizados",0
"16","Indústria","Fabricação de cabines, carrocerias e reboques para veículos automotores",30
"17","Indústria","Fabricação de brinquedos e jogos recreativos",11
"18","Indústria","Serviços de catering, bufê e outros serviços de comida preparada",10
"19","Indústria","Fabricação de produtos de metal não especificados anteriormente",8
"20","Indústria","Abate de reses, exceto suínos",6
"21","Serviços","Atividades de fornecimento de infra-estrutura de apoio e assistência a paciente no domicílio",43
"22","Serviços","Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas",34
"23","Serviços","Atividades de atendimento hospitalar",26
"24","Serviços","Atividades de teleatendimento",20
"25","Serviços","Manutenção e reparação de veículos automotores",17
