"","setor","classe_cnae","saldo"
"1","Agropecuária","Criação de bovinos",-8
"2","Agropecuária","Cultivo de café",-2
"3","Agropecuária","Produção de mudas e outras formas de propagação vegetal, certificadas",-2
"4","Agropecuária","Atividades de apoio à agricultura",-1
"5","Agropecuária","Cultivo de cana-de-açúcar",-1
"6","Comércio","Comércio varejista de calçados e artigos de viagem",-113
"7","Comércio","Comércio atacadista de resíduos e sucatas",-18
"8","Comércio","Comércio varejista de produtos de padaria, laticínio, doces, balas e semelhantes",-16
"9","Comércio","Comércio atacadista de bebidas",-13
"10","Comércio","Comércio a varejo e por atacado de veículos automotores",-9
"11","Construção civil","Serviços especializados para construção não especificados anteriormente",-21
"12","Construção civil","Obras de urbanização - ruas, praças e calçadas",-18
"13","Construção civil","Construção de edifícios",-13
"14","Construção civil","Obras de acabamento",-9
"15","Construção civil","Instalações hidráulicas, de sistemas de ventilação e refrigeração",-8
"16","Indústria","Fabricação de calçados de couro",-2606
"17","Indústria","Fabricação de partes para calçados, de qualquer material",-309
"18","Indústria","Fabricação de artefatos de couro não especificados anteriormente",-37
"19","Indústria","Fabricação de artefatos de borracha não especificados anteriormente",-36
"20","Indústria","Confecção de peças do vestuário, exceto roupas íntimas",-34
"21","Serviços","Educação infantil - creche",-203
"22","Serviços","Ensino fundamental",-64
"23","Serviços","Atividades de ensino não especificadas anteriormente",-49
"24","Serviços","Educação infantil - pré-escola",-32
"25","Serviços","Transporte rodoviário de carga",-26
