"","setor","classe_cnae","saldo"
"1","Agropecuária","Abate de reses, exceto suínos",0
"2","Agropecuária","Abate de suínos, aves e outros pequenos animais",0
"3","Agropecuária","Acabamentos em fios, tecidos e artefatos têxteis",0
"4","Agropecuária","Administração de bolsas e mercados de balcão organizados",0
"5","Agropecuária","Administração de cartões de crédito",0
"6","Comércio","Comércio varejista de mercadorias em geral, sem predominância de produtos alimentícios",23
"7","Comércio","Comércio varejista de artigos do vestuário e acessórios",15
"8","Comércio","Comércio varejista de carnes e pescados - açougues e peixarias",11
"9","Comércio","Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal",10
"10","Comércio","Comércio varejista de produtos farmacêuticos para uso humano e veterinário",10
"11","Construção civil","Obras de engenharia civil não especificadas anteriormente",2
"12","Construção civil","Obras de instalações em construções não especificadas anteriormente",1
"13","Construção civil","Obras para geração e distribuição de energia elétrica e para telecomunicações",1
"14","Construção civil","Abate de reses, exceto suínos",0
"15","Construção civil","Abate de suínos, aves e outros pequenos animais",0
"16","Indústria","Fabricação de artefatos de concreto, cimento, fibrocimento, gesso e materiais semelhantes",6
"17","Indústria","Fabricação de produtos de panificação",5
"18","Indústria","Fabricação de estruturas metálicas",4
"19","Indústria","Fabricação de produtos derivados do cacau, de chocolates e confeitos",3
"20","Indústria","Fabricação de máquinas e equipamentos para uso industrial específico não especificados anteriormente",2
"21","Serviços","Administração de consórcios para aquisição de bens e direitos",10
"22","Serviços","Seguros de vida",10
"23","Serviços","Desenvolvimento de programas de computador sob encomenda",7
"24","Serviços","Gestão e administração da propriedade imobiliária",6
"25","Serviços","Atividades imobiliárias de imóveis próprios",3
