"","setor","classe_cnae","saldo"
"1","Agropecuária","Cultivo de café",47
"2","Agropecuária","Atividades paisagísticas",1
"3","Agropecuária","Abate de reses, exceto suínos",0
"4","Agropecuária","Abate de suínos, aves e outros pequenos animais",0
"5","Agropecuária","Acabamentos em fios, tecidos e artefatos têxteis",0
"6","Comércio","Comércio varejista de mercadorias em geral, sem predominância de produtos alimentícios",132
"7","Comércio","Comércio varejista de artigos do vestuário e acessórios",28
"8","Comércio","Comércio atacadista de bebidas",23
"9","Comércio","Comércio de peças e acessórios para veículos automotores",19
"10","Comércio","Comércio varejista de artigos de óptica",11
"11","Construção civil","Obras de urbanização - ruas, praças e calçadas",6
"12","Construção civil","Instalações elétricas",3
"13","Construção civil","Obras de engenharia civil não especificadas anteriormente",3
"14","Construção civil","Serviços especializados para construção não especificados anteriormente",2
"15","Construção civil","Montagem de instalações industriais e de estruturas metálicas",1
"16","Indústria","Fabricação de produtos de panificação",9
"17","Indústria","Fabricação de cosméticos, produtos de perfumaria e de higiene pessoal",6
"18","Indústria","Fabricação de laminados planos e tubulares de material plástico",5
"19","Indústria","Fabricação de massas alimentícias",4
"20","Indústria","Abate de reses, exceto suínos",3
"21","Serviços","Serviços combinados para apoio a edifícios, exceto condomínios prediais",51
"22","Serviços","Seguros de vida",47
"23","Serviços","Serviços combinados de escritório e apoio administrativo",12
"24","Serviços","Transporte rodoviário coletivo de passageiros, sob regime de fretamento, e outros transportes rodoviários não especificados anteriormente",10
"25","Serviços","Atividades de serviços de complementação diagnóstica e terapêutica",9
