"","setor","classe_cnae","saldo"
"1","Agropecuária","Produção florestal - florestas plantadas",67
"2","Agropecuária","Cultivo de frutas de lavoura permanente, exceto laranja e uva",47
"3","Agropecuária","Criação de animais não especificados anteriormente",46
"4","Agropecuária","Atividades paisagísticas",34
"5","Agropecuária","Cultivo de cereais",23
"6","Comércio","Comércio varejista de artigos do vestuário e acessórios",3795
"7","Comércio","Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados",1885
"8","Comércio","Comércio varejista de produtos farmacêuticos para uso humano e veterinário",491
"9","Comércio","Comércio varejista de mercadorias em geral, sem predominância de produtos alimentícios",373
"10","Comércio","Comércio atacadista de hortifrutigranjeiros",306
"11","Construção civil","Montagem de instalações industriais e de estruturas metálicas",977
"12","Construção civil","Obras de instalações em construções não especificadas anteriormente",31
"13","Construção civil","Obras portuárias, marítimas e fluviais",24
"14","Construção civil","Abate de reses, exceto suínos",0
"15","Construção civil","Abate de suínos, aves e outros pequenos animais",0
"16","Indústria","Manutenção e reparação de máquinas e equipamentos da indústria mecânica",206
"17","Indústria","Manutenção e reparação de tanques, reservatórios metálicos e caldeiras, exceto para veículos",171
"18","Indústria","Instalação de máquinas e equipamentos industriais",165
"19","Indústria","Manutenção e reparação de equipamentos eletrônicos e ópticos",152
"20","Indústria","Fabricação de cabines, carrocerias e reboques para veículos automotores",122
"21","Serviços","Limpeza em prédios e em domicílios",1071
"22","Serviços","Serviços combinados para apoio a edifícios, exceto condomínios prediais",1050
"23","Serviços","Condomínios prediais",806
"24","Serviços","Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas",730
"25","Serviços","Atividades de vigilância e segurança privada",517
