"","setor","classe_cnae","saldo"
"1","Agropecuária","Criação de animais não especificados anteriormente",185
"2","Agropecuária","Cultivo de laranja",167
"3","Agropecuária","Produção florestal - florestas plantadas",141
"4","Agropecuária","Produção de sementes certificadas",119
"5","Agropecuária","Atividades paisagísticas",77
"6","Comércio","Comércio varejista de artigos do vestuário e acessórios",7021
"7","Comércio","Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados",4855
"8","Comércio","Comércio varejista de calçados e artigos de viagem",3694
"9","Comércio","Comércio varejista de outros produtos novos não especificados anteriormente",1280
"10","Comércio","Comércio varejista de mercadorias em geral, sem predominância de produtos alimentícios",1083
"11","Construção civil","Obras de instalações em construções não especificadas anteriormente",937
"12","Construção civil","Montagem de instalações industriais e de estruturas metálicas",756
"13","Construção civil","Obras de urbanização - ruas, praças e calçadas",431
"14","Construção civil","Instalações elétricas",291
"15","Construção civil","Instalações hidráulicas, de sistemas de ventilação e refrigeração",115
"16","Indústria","Serviços de catering, bufê e outros serviços de comida preparada",677
"17","Indústria","Fabricação de obras de caldeiraria pesada",312
"18","Indústria","Fabricação de máquinas e equipamentos para uso industrial específico não especificados anteriormente",234
"19","Indústria","Manutenção e reparação de máquinas e equipamentos da indústria mecânica",230
"20","Indústria","Fabricação de cabines, carrocerias e reboques para veículos automotores",178
"21","Serviços","Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas",2209
"22","Serviços","Locação de mão-de-obra temporária",2135
"23","Serviços","Limpeza em prédios e em domicílios",1469
"24","Serviços","Atividades de atenção ambulatorial executadas por médicos e odontólogos",851
"25","Serviços","Atividades de atendimento hospitalar",816
