"","setor","classe_cnae","saldo"
"1","Agropecuária","Atividades de apoio à produção florestal",98
"2","Agropecuária","Atividades paisagísticas",86
"3","Agropecuária","Cultivo de frutas de lavoura permanente, exceto laranja e uva",85
"4","Agropecuária","Criação de animais não especificados anteriormente",22
"5","Agropecuária","Criação de suínos",5
"6","Comércio","Comércio varejista de artigos do vestuário e acessórios",3220
"7","Comércio","Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados",2311
"8","Comércio","Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal",524
"9","Comércio","Comércio varejista de mercadorias em geral, sem predominância de produtos alimentícios",503
"10","Comércio","Comércio varejista de produtos farmacêuticos para uso humano e veterinário",445
"11","Construção civil","Montagem de instalações industriais e de estruturas metálicas",442
"12","Construção civil","Perfurações e sondagens",33
"13","Construção civil","Instalações elétricas",12
"14","Construção civil","Abate de reses, exceto suínos",0
"15","Construção civil","Abate de suínos, aves e outros pequenos animais",0
"16","Indústria","Coleta de resíduos não-perigosos",931
"17","Indústria","Instalação de máquinas e equipamentos industriais",290
"18","Indústria","Manutenção e reparação de máquinas e equipamentos da indústria mecânica",267
"19","Indústria","Fabricação de obras de caldeiraria pesada",125
"20","Indústria","Manutenção e reparação de tanques, reservatórios metálicos e caldeiras, exceto para veículos",109
"21","Serviços","Limpeza em prédios e em domicílios",1469
"22","Serviços","Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas",1436
"23","Serviços","Serviços combinados para apoio a edifícios, exceto condomínios prediais",943
"24","Serviços","Atividades de atendimento hospitalar",589
"25","Serviços","Condomínios prediais",467
