"","setor","classe_cnae","saldo"
"1","Agropecuária","Cultivo de laranja",302
"2","Agropecuária","Atividades de apoio à agricultura",232
"3","Agropecuária","Produção de sementes certificadas",225
"4","Agropecuária","Cultivo de plantas de lavoura temporária não especificadas anteriormente",37
"5","Agropecuária","Aluguel de máquinas e equipamentos agrícolas sem operador",11
"6","Comércio","Comércio varejista de ferragens, madeira e materiais de construção",303
"7","Comércio","Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados",271
"8","Comércio","Comércio varejista de mercadorias em geral, sem predominância de produtos alimentícios",185
"9","Comércio","Comércio atacadista de produtos alimentícios em geral",128
"10","Comércio","Comércio a varejo e por atacado de veículos automotores",106
"11","Construção civil","Obras para geração e distribuição de energia elétrica e para telecomunicações",510
"12","Construção civil","Serviços especializados para construção não especificados anteriormente",341
"13","Construção civil","Montagem de instalações industriais e de estruturas metálicas",162
"14","Construção civil","Obras de instalações em construções não especificadas anteriormente",142
"15","Construção civil","Instalações hidráulicas, de sistemas de ventilação e refrigeração",57
"16","Indústria","Fabricação de equipamentos de transmissão para fins industriais",192
"17","Indústria","Manutenção e reparação de máquinas e equipamentos da indústria mecânica",109
"18","Indústria","Fabricação de pneumáticos e de câmaras-de-ar",94
"19","Indústria","Serviços de usinagem, solda, tratamento e revestimento em metais",74
"20","Indústria","Fabricação de embalagens de material plástico",60
"21","Serviços","Atividades de atendimento hospitalar",1001
"22","Serviços","Transporte rodoviário de carga",722
"23","Serviços","Limpeza em prédios e em domicílios",454
"24","Serviços","Serviços combinados de escritório e apoio administrativo",418
"25","Serviços","Transporte aéreo de passageiros regular",245
