"","setor","classe_cnae","saldo"
"1","Agropecuária","Criação de animais não especificados anteriormente",178
"2","Agropecuária","Cultivo de laranja",148
"3","Agropecuária","Cultivo de café",36
"4","Agropecuária","Cultivo de frutas de lavoura permanente, exceto laranja e uva",17
"5","Agropecuária","Atividades paisagísticas",14
"6","Comércio","Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados",300
"7","Comércio","Comércio varejista de artigos do vestuário e acessórios",211
"8","Comércio","Comércio varejista de calçados e artigos de viagem",140
"9","Comércio","Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo",68
"10","Comércio","Comércio varejista de mercadorias em geral, sem predominância de produtos alimentícios",63
"11","Construção civil","Montagem de instalações industriais e de estruturas metálicas",432
"12","Construção civil","Serviços especializados para construção não especificados anteriormente",241
"13","Construção civil","Instalações elétricas",52
"14","Construção civil","Construção de rodovias e ferrovias",20
"15","Construção civil","Instalações hidráulicas, de sistemas de ventilação e refrigeração",6
"16","Indústria","Instalação de máquinas e equipamentos industriais",158
"17","Indústria","Fabricação de motores e turbinas, exceto para aviões e veículos rodoviários",81
"18","Indústria","Fabricação de máquinas e equipamentos de uso geral não especificados anteriormente",71
"19","Indústria","Fabricação de máquinas e equipamentos para as indústrias de alimentos, bebidas e fumo",61
"20","Indústria","Fabricação de máquinas e equipamentos para uso industrial específico não especificados anteriormente",54
"21","Serviços","Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas",115
"22","Serviços","Limpeza em prédios e em domicílios",87
"23","Serviços","Atividades de publicidade não especificadas anteriormente",60
"24","Serviços","Atividades de atenção ambulatorial executadas por médicos e odontólogos",49
"25","Serviços","Desenvolvimento e licenciamento de programas de computador customizáveis",40
