"","setor","classe_cnae","saldo"
"1","Agropecuária","Cultivo de cana-de-açúcar",-814
"2","Agropecuária","Produção de sementes certificadas",-129
"3","Agropecuária","Atividades de apoio à agricultura",-117
"4","Agropecuária","Aluguel de máquinas e equipamentos agrícolas sem operador",-57
"5","Agropecuária","Horticultura",-50
"6","Comércio","Comércio de peças e acessórios para veículos automotores",-41
"7","Comércio","Comércio atacadista de cosméticos, produtos de perfumaria e de higiene pessoal",-20
"8","Comércio","Comércio a varejo e por atacado de veículos automotores",-15
"9","Comércio","Comércio atacadista de combustíveis sólidos, líquidos e gasosos, exceto gás natural e GLP",-13
"10","Comércio","Comércio varejista de artigos usados",-13
"11","Construção civil","Construção de edifícios",-217
"12","Construção civil","Obras de terraplenagem",-29
"13","Construção civil","Obras de acabamento",-26
"14","Construção civil","Obras de instalações em construções não especificadas anteriormente",-10
"15","Construção civil","Obras de urbanização - ruas, praças e calçadas",-8
"16","Indústria","Fabricação de açúcar em bruto",-2993
"17","Indústria","Fabricação de álcool",-147
"18","Indústria","Coleta de resíduos não-perigosos",-66
"19","Indústria","Fabricação de produtos alimentícios não especificados anteriormente",-33
"20","Indústria","Fabricação de conservas de frutas",-29
"21","Serviços","Transporte rodoviário de carga",-826
"22","Serviços","Atividades de teleatendimento",-303
"23","Serviços","Administração pública em geral",-63
"24","Serviços","Transporte rodoviário coletivo de passageiros, sob regime de fretamento, e outros transportes rodoviários não especificados anteriormente",-35
"25","Serviços","Serviços combinados para apoio a edifícios, exceto condomínios prediais",-33
