"","setor","classe_cnae","saldo"
"1","Agropecuária","Cultivo de cana-de-açúcar",-1121
"2","Agropecuária","Atividades de apoio à produção florestal",-73
"3","Agropecuária","Criação de aves",-55
"4","Agropecuária","Criação de bovinos",-55
"5","Agropecuária","Produção florestal - florestas plantadas",-13
"6","Comércio","Comércio varejista de combustíveis para veículos automotores",-173
"7","Comércio","Comércio varejista de artigos do vestuário e acessórios",-143
"8","Comércio","Comércio varejista especializado de equipamentos de telefonia e comunicação",-106
"9","Comércio","Comércio varejista de livros, jornais, revistas e papelaria",-43
"10","Comércio","Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo",-36
"11","Construção civil","Construção de edifícios",-351
"12","Construção civil","Instalações elétricas",-329
"13","Construção civil","Obras de fundações",-92
"14","Construção civil","Construção de rodovias e ferrovias",-63
"15","Construção civil","Obras de urbanização - ruas, praças e calçadas",-54
"16","Indústria","Fabricação de açúcar em bruto",-2241
"17","Indústria","Fabricação de álcool",-210
"18","Indústria","Coleta de resíduos não-perigosos",-192
"19","Indústria","Fabricação de produtos alimentícios não especificados anteriormente",-155
"20","Indústria","Fabricação de cosméticos, produtos de perfumaria e de higiene pessoal",-145
"21","Serviços","Atividades de teleatendimento",-821
"22","Serviços","Transporte rodoviário coletivo de passageiros, sob regime de fretamento, e outros transportes rodoviários não especificados anteriormente",-223
"23","Serviços","Bancos múltiplos, com carteira comercial",-133
"24","Serviços","Locação de automóveis sem condutor",-117
"25","Serviços","Serviços combinados para apoio a edifícios, exceto condomínios prediais",-106
