"","setor","classe_cnae","saldo"
"1","Agropecuária","Criação de bovinos",-2
"2","Agropecuária","Atividades de apoio à agricultura",-1
"3","Agropecuária","Cultivo de cana-de-açúcar",-1
"4","Agropecuária","Abate de reses, exceto suínos",0
"5","Agropecuária","Abate de suínos, aves e outros pequenos animais",0
"6","Comércio","Comércio varejista de artigos do vestuário e acessórios",-4
"7","Comércio","Comércio varejista de outros produtos novos não especificados anteriormente",-4
"8","Comércio","Comércio de peças e acessórios para veículos automotores",-3
"9","Comércio","Comércio varejista de artigos de uso doméstico não especificados anteriormente",-3
"10","Comércio","Comércio varejista de artigos recreativos e esportivos",-3
"11","Construção civil","Obras de terraplenagem",-15
"12","Construção civil","Instalações hidráulicas, de sistemas de ventilação e refrigeração",-3
"13","Construção civil","Instalações elétricas",-2
"14","Construção civil","Obras de urbanização - ruas, praças e calçadas",-1
"15","Construção civil","Abate de reses, exceto suínos",0
"16","Indústria","Fundição de ferro e aço",-10
"17","Indústria","Fabricação de bicicletas e triciclos não-motorizados",-6
"18","Indústria","Fabricação de caldeiras geradoras de vapor, exceto para aquecimento central e para veículos",-6
"19","Indústria","Fabricação de máquinas e equipamentos para a agricultura e pecuária, exceto para irrigação",-6
"20","Indústria","Fabricação de motores e turbinas, exceto para aviões e veículos rodoviários",-6
"21","Serviços","Transporte rodoviário coletivo de passageiros, sob regime de fretamento, e outros transportes rodoviários não especificados anteriormente",-87
"22","Serviços","Transporte rodoviário de carga",-23
"23","Serviços","Educação infantil - pré-escola",-19
"24","Serviços","Atividades de ensino não especificadas anteriormente",-17
"25","Serviços","Educação superior - graduação e pós-graduação",-9
