"","setor","classe_cnae","saldo"
"1","Agropecuária","Cultivo de cana-de-açúcar",-10
"2","Agropecuária","Abate de reses, exceto suínos",0
"3","Agropecuária","Abate de suínos, aves e outros pequenos animais",0
"4","Agropecuária","Acabamentos em fios, tecidos e artefatos têxteis",0
"5","Agropecuária","Administração de bolsas e mercados de balcão organizados",0
"6","Comércio","Comércio varejista de outros produtos novos não especificados anteriormente",-14
"7","Comércio","Comércio de peças e acessórios para veículos automotores",-5
"8","Comércio","Comércio varejista de carnes e pescados - açougues e peixarias",-4
"9","Comércio","Comércio varejista especializado de tecidos e artigos de cama, mesa e banho",-4
"10","Comércio","Comércio atacadista de máquinas, aparelhos e equipamentos não especificados anteriormente; partes e peças",-3
"11","Construção civil","Construção de edifícios",-21
"12","Construção civil","Obras de terraplenagem",-2
"13","Construção civil","Instalações elétricas",-1
"14","Construção civil","Obras de urbanização - ruas, praças e calçadas",-1
"15","Construção civil","Abate de reses, exceto suínos",0
"16","Indústria","Fabricação de açúcar em bruto",-121
"17","Indústria","Fabricação de caldeiras geradoras de vapor, exceto para aquecimento central e para veículos",-25
"18","Indústria","Fabricação de equipamentos e aparelhos elétricos não especificados anteriormente",-7
"19","Indústria","Abate de reses, exceto suínos",-6
"20","Indústria","Fabricação de componentes eletrônicos",-6
"21","Serviços","Transporte rodoviário de carga",-126
"22","Serviços","Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal, interestadual e internacional",-17
"23","Serviços","Manutenção e reparação de veículos automotores",-16
"24","Serviços","Atividades de vigilância e segurança privada",-14
"25","Serviços","Atividades de condicionamento físico",-8
