"","setor","classe_cnae","saldo"
"1","Agropecuária","Criação de animais não especificados anteriormente",9
"2","Agropecuária","Atividades paisagísticas",1
"3","Agropecuária","Cultivo de cereais",1
"4","Agropecuária","Abate de reses, exceto suínos",0
"5","Agropecuária","Abate de suínos, aves e outros pequenos animais",0
"6","Comércio","Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados",21
"7","Comércio","Comércio varejista de bebidas",7
"8","Comércio","Comércio varejista de mercadorias em geral, sem predominância de produtos alimentícios",4
"9","Comércio","Comércio atacadista de defensivos agrícolas, adubos, fertilizantes e corretivos do solo",3
"10","Comércio","Comércio varejista de material elétrico",3
"11","Construção civil","Montagem de instalações industriais e de estruturas metálicas",336
"12","Construção civil","Serviços especializados para construção não especificados anteriormente",70
"13","Construção civil","Obras de acabamento",52
"14","Construção civil","Construção de edifícios",6
"15","Construção civil","Obras de instalações em construções não especificadas anteriormente",5
"16","Indústria","Instalação de máquinas e equipamentos industriais",71
"17","Indústria","Fabricação de máquinas e equipamentos para as indústrias de alimentos, bebidas e fumo",64
"18","Indústria","Fabricação de máquinas e equipamentos de uso geral não especificados anteriormente",59
"19","Indústria","Serviços de usinagem, solda, tratamento e revestimento em metais",54
"20","Indústria","Manutenção e reparação de máquinas e equipamentos da indústria mecânica",50
"21","Serviços","Locação de meios de transporte, exceto automóveis, sem condutor",57
"22","Serviços","Clubes sociais, esportivos e similares",31
"23","Serviços","Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas",16
"24","Serviços","Serviços combinados de escritório e apoio administrativo",15
"25","Serviços","Locação de mão-de-obra temporária",12
