"","setor","classe_cnae","saldo"
"1","Agropecuária","Atividades paisagísticas",-6
"2","Agropecuária","Atividades de apoio à produção florestal",-2
"3","Agropecuária","Criação de outros animais de grande porte",-1
"4","Agropecuária","Abate de reses, exceto suínos",0
"5","Agropecuária","Abate de suínos, aves e outros pequenos animais",0
"6","Comércio","Comércio atacadista de produtos alimentícios em geral",-70
"7","Comércio","Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados",-56
"8","Comércio","Comércio varejista de outros produtos novos não especificados anteriormente",-41
"9","Comércio","Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários",-29
"10","Comércio","Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo",-28
"11","Construção civil","Obras para geração e distribuição de energia elétrica e para telecomunicações",-94
"12","Construção civil","Construção de edifícios",-81
"13","Construção civil","Instalações elétricas",-22
"14","Construção civil","Serviços especializados para construção não especificados anteriormente",-14
"15","Construção civil","Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas",-8
"16","Indústria","Fabricação de pneumáticos e de câmaras-de-ar",-193
"17","Indústria","Fabricação de artefatos de material plástico não especificados anteriormente",-43
"18","Indústria","Fabricação de peças e acessórios para veículos automotores não especificados anteriormente",-42
"19","Indústria","Fabricação de componentes eletrônicos",-33
"20","Indústria","Confecção de peças do vestuário, exceto roupas íntimas",-30
"21","Serviços","Educação superior - graduação e pós-graduação",-242
"22","Serviços","Ensino fundamental",-241
"23","Serviços","Educação infantil - pré-escola",-193
"24","Serviços","Educação infantil - creche",-179
"25","Serviços","Atividades de atendimento hospitalar",-120
